"Titulo","Valor","Endereço","URL"
"Vendo iPhone 11 64GB","2400.0","Goiânia, Setor Leste Universitário","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/vendo-iphone-11-64gb-1101727489"
"IPHONE 11","2250.0","Goiânia, Capuava","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1098912705"
"iPhone 11 64GB YELLOW","2550.0","Goiânia, Setor dos Funcionários","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-yellow-1098958823"
"iPhone 11 64GB bateria 72%","2000.0","Goiânia, Chácaras Buritis","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-bateria-72-1101724299"
"iPhone 11","2100.0","Goiânia, Jardim Vitória","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1101715789"
"iPhone 11 64 gb usado","2200.0","Aparecida de Goiânia, Jardim Bela Vista - Continuação","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-gb-usado-1098840203"
"iPhone 11 semi novo","2800.0","Goiânia, Moinho dos Ventos","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-semi-novo-1092902356"
"iPhone 11 64 GB branco","2100.0","Goiânia, Setor Pedro Ludovico","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-gb-branco-1095479734"
"Iphone 11 Pro","2500.0","Goiânia, Parque João Braz - Cidade Industrial","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-pro-1099002059"
"iPhone 11 128GB","2599.0","Goiânia, Setor Campinas","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128gb-1098793807"
"iPhone 11 64","2400.0","Goiânia, Jardim Fonte Nova","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-1092272071"
"iPhone 11 64Gb GARANTIA DE LOJA FÍSICA","2399.0","Goiânia, Setor Central","https://go.olx.com.br/grande-goiania-e-anapolis/antiguidades/iphone-11-64gb-garantia-de-loja-fisica-1101705270"
"iPhone 11 128Gb GARANTIA DE LOJA FÍSICA","2699.0","Goiânia, Setor Central","https://go.olx.com.br/grande-goiania-e-anapolis/antiguidades/iphone-11-128gb-garantia-de-loja-fisica-1101704975"
"iPhone 11 64gb","1800.0","Goiânia, Jardim Goiás","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1096297595"
"iPhone 11 ?.64","2700.0","Goiânia, Setor Sudoeste","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-1093240232"
"Iphone 11 normal","2100.0","Goiânia, Setor Central","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-normal-1097792282"
"Iphone 11","2300.0","Goiânia, Jardim América","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1099763663"
"iPhone 11 128gb","2800.0","Goiânia, Parque João Braz - Cidade Industrial","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128gb-1096251947"
"iPhone 11","2200.0","Goiânia, Da Vitória","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1101670996"
"IPhone 11 64gb . Outros modelos . Chama . IPhone 8 , 8 plus , XR , 12","2400.0","Goiânia, Setor Bueno","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-outros-modelos-chama-iphone-8-8-plus-xr-12-1033036001"
"iPhone 11 Pro Max 64gb","2650.0","Aparecida de Goiânia, Mansões Paraíso","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-pro-max-64gb-1091834880"
"IPHONE 11 64GB BRANCO 64GB ( 6 meses de garantia )","2099.0","Goiânia, Vila Mutirão I","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-branco-64gb-6-meses-de-garantia-1099643417"
"Vendo IPhone 11 64gb","2500.0","Anápolis, Centro","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/vendo-iphone-11-64gb-1096169419"
"Troco iPhone 11 64 gb por pc gamer","2300.0","Aparecida de Goiânia, Jardim Buriti Sereno","https://go.olx.com.br/grande-goiania-e-anapolis/computadores-e-acessorios/troco-iphone-11-64-gb-por-pc-gamer-1100744584"
"Iphone 11 64gb sem detalhes","2700.0","Goiânia, Parque Oeste Industrial","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-sem-detalhes-1096116884"
"iPhone 11 64gb semi novo todo original impecável","2300.0","Inhumas, Centro","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-semi-novo-todo-original-impecavel-1080895906"
"Iphone 11 128 gb","0.0","Goiânia, Jardim Goiás","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128-gb-1101637060"
"IPhone 11 Pro 64 semi novo LOJA FÍSICA todo original","2699.0","Goiânia, Setor Marista","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-pro-64-semi-novo-loja-fisica-todo-original-1101636988"
"Vendo iPhone 11","2400.0","Goiânia, Setor Pedro Ludovico","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/vendo-iphone-11-1097837434"
"iPhone 11 64g branco","2400.0","Goiânia, Rodoviário","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64g-branco-1100700150"
"IPHONE 11","2200.0","Aparecida de Goiânia, Jardim das Esmeraldas","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1093905437"
"iPhone 11 64gb","2100.0","Goiânia, Setor Sudoeste","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1101632445"
"iPhone 11","2400.0","Goiânia, Parque Oeste Industrial","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1093076795"
"IPhone 11 128GB SEM DETALHES","2799.0","Goiânia, Setor Marista","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128gb-sem-detalhes-1095681481"
"iPhone 11","2800.0","Nerópolis","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1101622280"
"iPhone 11 128 gb","2500.0","Anápolis, Vila Santa Isabel","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128-gb-1101614469"
"iPhone 11","2500.0","Anápolis, Residencial Flor do Cerrado","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1101612893"
"IPHONE 11 64 GB","2250.0","Goiânia, São Domingos","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-gb-1097958448"
"iPhone 11 64GB","2349.0","Goiânia, Setor Campinas","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1098770527"
"iPhone 11 64Gb","2100.0","Goiânia, Jardim Guanabara III","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1101610106"
"iPhone 11","2700.0","Goiânia, Setor Bueno","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1101608699"
"IPhone 11","2450.0","Goiânia, Vila João Vaz","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1090017661"
"iPhone 11 128 Gb","2500.0","Anápolis, De Lourdes","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128-gb-1097919413"
"iPhone 11 64 GB","2000.0","Goiânia, Jardim Itaipu","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-gb-1099927112"
"iPhone 11 256gb novo completo garantia loja física","2650.0","Goiânia, Setor Campinas","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-256gb-novo-completo-garantia-loja-fisica-1101599401"
"iPhone 11 Pro do Max de 64 GB","2700.0","Goiânia, Goiânia 2","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-pro-do-max-de-64-gb-1101595005"
"iPhone 11 128gb","2500.0","Goiânia, Jardim Atlântico","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128gb-1101589526"
"iPhone 11 64gb Face ID ok Td ok","2250.0","Goiânia, Setor Urias Magalhães","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-face-id-ok-td-ok-1101589315"
"iPhone 11 64GB","2800.0","Goiânia, Setor Coimbra","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1096245239"
"Vendo ou troco IPhone 11 Urgente!!","2500.0","Jaraguá","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/vendo-ou-troco-iphone-11-urgente-1098043120"
"IPHONE 11","2199.0","Goiânia, Setor Oeste","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1095354250"
"Vendo iPhone 11 ! Pego iPhone 8 com volta sua $","2400.0","Aparecida de Goiânia, Retiro do Bosque","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/vendo-iphone-11-pego-ip